매출액(백만원),광고비(천원)
1726365,100376292
1865731,48148537
1244929,49861000
1488345,41712468
1431545,37580043
1161254,75726566
982049,35231823
846521,20300046
722229,4780061
661647,57220964
722056,21284218
635392,6298477
684351,8350566
637714,32856557
536574,11478851
455057,20778093
386039,8236387
383810,2823273
452801,19717236
340426,19937663
274032,11725905
262522,8320292
210845,770993
218380,6170996
209287,4665359
196265,943662
198935,10109214
188931,1604653
168000,7400000
166000,505000
165000,13021000
159000,4930000
155000,4714000
149000,3706000
148000,1960000
134000,1156000
134000,8980000
131000,2660000
125000,2898000
125000,1095000
121000,2682000
115000,1710000
114000,1871000
111000,1950000
108000,899000
108000,476000
95000,60000
93000,213000
90000,971100
86000,789900
